"FileName","FileExtension","FilePath","CreatedDateTime","ModifiedDateTime","CreatedBy","ModifiedBy","FileSize","ItemType","IsFolder"
"RESULTICKS GLOBAL COM PTE. LIMITED","","Project Resulticks/03. Singapore Tax/RESULTICKS GLOBAL COM PTE. LIMITED","11/07/2025 06:19:01","11/07/2025 06:19:01","Minh Tri Nguyen","Minh Tri Nguyen","0","Folder","True"
"A. Corporate income tax","","Project Resulticks/03. Singapore Tax/RESULTICKS GLOBAL COM PTE. LIMITED/A. Corporate income tax","11/07/2025 06:19:01","11/07/2025 06:19:01","Minh Tri Nguyen","Minh Tri Nguyen","0","Folder","True"
"01 Appendix A","","Project Resulticks/03. Singapore Tax/RESULTICKS GLOBAL COM PTE. LIMITED/A. Corporate income tax/01 Appendix A","11/07/2025 06:19:02","11/07/2025 06:19:02","Minh Tri Nguyen","Minh Tri Nguyen","0","Folder","True"
"1. Corporate Income Tax.xlsx","","Project Resulticks/03. Singapore Tax/RESULTICKS GLOBAL COM PTE. LIMITED/A. Corporate income tax/01 Appendix A/1. Corporate Income Tax.xlsx","11/07/2025 06:19:06","11/07/2025 06:19:06","Minh Tri Nguyen","Minh Tri Nguyen","0","Folder","True"
"02 Audited FS","","Project Resulticks/03. Singapore Tax/RESULTICKS GLOBAL COM PTE. LIMITED/A. Corporate income tax/02 Audited FS","11/07/2025 06:19:02","11/07/2025 06:19:02","Minh Tri Nguyen","Minh Tri Nguyen","0","Folder","True"
"RGCPL Financials 2023 (signed).pdf","","Project Resulticks/03. Singapore Tax/RESULTICKS GLOBAL COM PTE. LIMITED/A. Corporate income tax/02 Audited FS/RGCPL Financials 2023 (signed).pdf","11/07/2025 06:19:10","11/07/2025 06:19:10","Minh Tri Nguyen","Minh Tri Nguyen","0","Folder","True"
"RGCPL Financials 2024 (signed).pdf","","Project Resulticks/03. Singapore Tax/RESULTICKS GLOBAL COM PTE. LIMITED/A. Corporate income tax/02 Audited FS/RGCPL Financials 2024 (signed).pdf","11/07/2025 06:19:11","11/07/2025 06:19:11","Minh Tri Nguyen","Minh Tri Nguyen","0","Folder","True"
"03 Tax Comput","","Project Resulticks/03. Singapore Tax/RESULTICKS GLOBAL COM PTE. LIMITED/A. Corporate income tax/03 Tax Comput","11/07/2025 06:19:02","11/07/2025 06:19:02","Minh Tri Nguyen","Minh Tri Nguyen","0","Folder","True"
"CT_YA2025_Provisional Tax Computation.pdf","","Project Resulticks/03. Singapore Tax/RESULTICKS GLOBAL COM PTE. LIMITED/A. Corporate income tax/03 Tax Comput/CT_YA2025_Provisional Tax Computation.pdf","11/07/2025 06:19:10","11/07/2025 06:19:10","Minh Tri Nguyen","Minh Tri Nguyen","0","Folder","True"
"YA2024_FINAL TAX COMPUTATION.pdf","","Project Resulticks/03. Singapore Tax/RESULTICKS GLOBAL COM PTE. LIMITED/A. Corporate income tax/03 Tax Comput/YA2024_FINAL TAX COMPUTATION.pdf","11/07/2025 06:19:10","11/07/2025 06:19:10","Minh Tri Nguyen","Minh Tri Nguyen","0","Folder","True"
